Complexity,Loss,Equation
1,0.004473308444521421,"0.17239959080219322"
3,0.002975309118814909,"(x2 * 0.08491601210642023)"
4,0.0029665752391191636,"sin(x2 * 0.085531432056275)"
5,0.00287203604563881,"(x2 * (x1 * 0.041822006217642115))"
6,0.0028127449839801763,"sin(x2 * (x1 * 0.04136810363102728))"
7,0.0027702393867581106,"sin(sin(x2 * (x1 * 0.041822006217642115)))"
8,0.0027325857358236096,"sin(sin(sin(x2 * (x1 * 0.041822006217642115))))"
9,0.0027025389640827134,"sin(sin(sin(sin(x2 * (x1 * 0.041822006217642115)))))"
11,0.0026622721035102254,"sin(sin(sin(sin(sin(sin(x2 * (x1 * 0.041822006217642115)))))))"
12,0.0026507773237894683,"sin(sin(sin(sin(sin(sin(sin(x2 * (x1 * 0.041822006217642115))))))))"
14,0.002642414109318809,"sin(sin(sin(sin(sin(sin(sin(sin(sin(x2 * (x1 * 0.041822006217642115))))))))))"
